Empresa_ID,Empresa,website,CIF,enlace CIF
941201,ISMS Forum,http://www.ismsforum.es,G84994888,https://www.ismsforum.es/legal.php
1507829,Interactiv4,http://interactiv4.com,B87012654,http://interactiv4.com/politica-de-privacidad/
74491290,Bel Community,http://www.bel.community,B67636126,http://www.bel.community/politicas-de-privacidad
14026941,Solid. Lead generation & CRM company,https://www.solidteam.es,B67391318,https://www.solidteam.es/aviso-legal
11253234,Polaroo,https://www.polaroo.com/?utm_campaign=bio&utm_medium=Social&utm_source=Linkedin,B67087403,https://www.polaroo.com/politica-privacidad
11253713,Consentio,http://www.consentio.co,B66734690,http://www.consentio.co/legal/privacy-policy
14803270,Antidote | UX & Playtesting Solution for Game Developers & Publishers,https://antidote.gg,B66471665,https://antidote.gg/sekg-gamers-privacy-policy/
5088711,Teradisk Consulting SL,http://teradisk.com,B66443375,https://teradisk.com/condiciones-para-candidatos/
2600268,Worktocloud,https://www.worktocloud.es,B66295445,https://www.worktocloud.es/privacity.php?tipo=office&idiomaseleccionado=
769901,Worldsensing,http://www.worldsensing.com,B64902208,https://www.worldsensing.com/legal-notice/
205310,KEAPPS,http://www.keapps.com,B63065494,http://www.keapps.com/aviso-legal
893277,Profile Software Services,https://profile.es/,B62521828,https://profile.es/legal/
2414685,Servicios de Internet Javajan,https://javajan.es,B61950127,https://javajan.es/politica-de-cookies/
1127356,"Voxel, an Amadeus company",http://www.voxelgroup.net,B61741898,https://www.voxelgroup.net/legal-notice/
10880108,My Magic Story,http://www.mymagicstory.com,B44865111,https://www.mymagicstory.com/privacy-policy
69666189,Bleta,https://bleta.io,B06961601,https://bleta.io/politica-de-privacidad/
10400468,Connectif Artificial Intelligence,http://www.connectif.ai,B05509641,https://connectif.ai/politica-de-privacidad/
2251697,SACOEL,https://www.sacoel.com,A58147901,https://www.sacoel.com/politica-de-privacidad
2207501,Webimpacto,http://www.webimpacto.consulting,B45814670,https://webimpacto.consulting/aviso-legal/
42927407,BeOneSec (Cybersecurity),http://www.beonesec.com,B90411919,https://www.beonesec.com/aviso-legal/
562674,Dantex Group,http://www.dantexgroup.com,B42891846,https://www.dantexgroup.com/legal-warning
27452819,Peninsula - Corporate Innovation,https://peninsula.co,B 66585613,https://peninsula.co/casos-de-uso/aena-ventures-la-revolucion-aeroportuaria
76540383,Tattoox,https://wearetattoox.com,None,None
2358969,BYHOURS,https://www.byhours.com/en.html,None,None
651653,Servicetonic,https://www.servicetonic.com/es/,B65201964,https://www.servicetonic.com/es/politica-de-privacidad/
9293554,Datamonplus,http://www.datamonplus.com,None,None
466585,Emailing Network,www.emailingnetwork.com,None,None
97166,SEIDOR Opentrends,http://www.opentrends.net,None,None
1562376,Ingens Networks | Servicios gestionados,http://www.ingens-networks.com,None,None
131168,Omega Peripherals,http://www.omega-peripherals.com,None,None
166292,Tecsidel ITS,http://www.tecsidel.com,None,None
1289572,QualitaHUB,https://qualitahub.com/,None,None
37800629,Alhambra IT,https://www.alhambrait.com,None,None
2434667,Tinámica,http://www.tinamica.com,None,None
10997112,ROBOTIX® Hands-on Learning,https://www.robotix.es/,None,None
5149240,Airtouch New Media,http://www.airtouchmedia.com,None,None
5247426,AFIANZA Asesoría Consultoría,http://WWW.AFIANZA-AC.ES,None,None
2182913,EDISA,https://www.edisa.com,None,None
5109074,Ideafoster,http://www.ideafoster.com,None,None
17891759,Didimo,https://didimo.co,None,None
5217177,Actito,http://www.actito.com,None,None
858815,zylk.net,https://www.zylk.net,B95326013,https://www.zylk.net/informacion-legal/
429378,SeproTec Multilingual Solutions,http://www.seprotec.com,None,None
10345602,Routal,https://www.routal.com,None,None
5026539,Marketing4eCommerce,http://marketing4ecommerce.net/,None,None
18392341,JYOKO,https://www.jyoko.com,None,None
1370723,"SIGNE, Seguridad Documental",https://www.signe.es,A11029279,https://www.signe.es/aviso-legal/
103528,Just Landed,https://www.justlanded.com,None,None
10258548,The Workshop - Inventors of Play,https://careers.theworkshop.com/,None,None
12998346,ADG Travel,https://adgtravel.com,B-87932604,https://adgtravel.com/aviso-legal/
3480974,B4work,http://www.b4workapp.com,None,None
37389127,Gelpiu,https://www.gelpiu.com,None,None
5150293,Aktios,http://www.aktios.com,None,None
539499,ATIENS,http://atiens.com,None,None
27006013,Nateevo,http://nateevo.com/,B-80891856,https://nateevo.com/politica-privacidad/
5371426,MiiN Korean Cosmetics,http://www.miin-cosmetics.com,B-67463588,https://miin-cosmetics.com/content/3-politica-de-privacidad
11160919,Serbatic,http://www.serbatic.es,A31879851,https://www.serbatic.es/en/politica-privacidad/
10199558,Optimus Price,https://optimusprice.ai,None,None
200294,Abiquo,http://www.abiquo.com,None,None
2423309,Scandit,http://www.scandit.com,None,None
2308043,LUDUS - VR training for industry and emergency,https://ludusglobal.com/,None,None
5035301,El Arte de Medir,http://www.elartedemedir.com,None,None
967453,KYOCERA Document Solutions España,http://www.kyoceradocumentsolutions.es,A78053634,http://www.kyoceradocumentsolutions.es/es/footer/governance.html
68051,EAE Business School,http://www.eae.es/,None,None
1817397,SDi Digital Group,http://www.sdi.es,None,None
10563551,Alfred Smart Systems,http://www.alfredsmart.com,None,None
3230479,The Papaya Group,http://www.thepapayagroup.com,None,None
2405667,Trilogi - The eCommerce Agency,https://www.trilogi.com,None,None
11420147,Meep,http://www.meep.app,None,None
5381407,Holded,https://www.holded.com/es,None,None
5254985,Bibold: The Big Data & AI Enabler,http://www.bibold.com,None,None
489118,PrestaShop,http://www.prestashop.com,None,None
1016643,SPINDATOS CONSULTING,http://www.spindatos.com/,None,None
10553599,Digital Genoma,http://digitalgenoma.com/,None,None
146325,"Omega CRM, A Merkle Company",https://omegacrmconsulting.com/,None,None
2415500,LA TEVA WEB,https://www.latevaweb.com,None,None
72560,Arsys,http://www.arsys.es,None,None
2371189,DIGITAL55,https://www.digital55.com/,None,None
5286424,GLAM SOFTWARE,http://www.glamsw.com,None,None
10793912,Smart Point,https://smartpoint.ai/,B66067216,https://smartpoint.ai/condiciones-de-uso
53487099,Evolbe,https://evolbe.com/,None,None
71990,Ventura24 (Member of ZEAL Group),https://www.zealnetwork.de/en/,None,None
244072,REUS MOBILITAT I SERVEIS (AMERSAM),http://www.reusmobilitat.cat,None,None
1789355,solusoft.es,https://www.solusoft.es,B-80954373,https://www.solusoft.es/aviso-legal
3035481,Top Doctors,http://www.topdoctors.com,None,None
2915226,ForceManager,https://www.forcemanager.com,None,None
11050563,Andersen in Spain,http://es.Andersen.com,None,None
12591678,Nemuru,http://www.nemuru.com,None,None
398165,Gesdocument,https://www.gesdocument.com/,A59053355,http://www.gesdocument.com/aviso-legal
10572517,Metricool,https://metricool.com/?&utm_source=linkedin&utm_medium=social&utm_campaign=profile&utm_term=2023q1,None,None
2889590,Doofinder,http://www.doofinder.com/,None,None
5000825,Likeik,http://www.likeik.com,None,None
9509,Nova Talent,http://novatalent.com/,B-87600391,http://novatalent.com/privacy-policy
733458,MARCO,http://marco.agency,None,None
9479050,imbee,http://imbee.me,B66069998,https://imbee.me/aviso-legal/
9475549,The Hotels Network,https://www.thehotelsnetwork.com/,None,None
2582898,STAY,https://www.stay-app.com,B85879831,https://www.stay-app.com/legal-notice
5392790,Digital Group - Agencia de Medios,http://www.digitalgroup.com,None,None
11157539,Trivière Partners,https://trivierepartners.com/,None,None
19124155,Atani,https://www.atani.com,None,None
853485,BlinkLearning,https://www.blinklearning.com,None,None
19181274,ShoreView App,https://shoreview.app/,None,None
35644507,Famileo Ibérica,https://www.famileopro.com/es-es/,None,None
9382795,Woffu,http://www.woffu.com,B66473869,https://woffu.com/es/terminos-y-condiciones/
2974161,Acumbamail,https://acumbamail.com,None,None
607174,Cámara de Comercio de Valencia,http://www.camaravalencia.com,Q4673002D,https://www.camaravalencia.com/aviso-legal/
20476572,Immoral Marketing,https://immoral.marketing/,B02638187,https://immoral.marketing/privacy-policy/
9466318,Ingecom,https://www.ingecom.net,None,None
826016,Aladinia,https://www.aladinia.com,None,None
2969283,Covert Security | Global CCTV Surveillance and Video Analysis Solutions,http://www.covertsecurity.es,None,None
74826,Gómez-Acebo & Pombo,http://www.ga-p.com,None,None
11366439,Ole | Tecnología,https://www.oletecnologia.com/,B87964904,https://www.oletecnologia.com/politica-de-privacidad/
3195386,TRBL Services,https://trbl-services.eu/,None,None
35604246,CODINFOS,http://www.codinfos.com,None,None
10054192,SIBBO,http://www.sibboventures.com,B-87083879,https://sibboventures.com/aviso-legal/
30704241,Clever Ads,https://cleverads.com/,None,None
238524,PIXELWARE,http://www.pixelware.com,A-81142385,https://pixelware.com/aviso-legal/
977636,Vipnet360,http://www.vipnet360.com,None,None
2940811,MediQuo,http://www.mediquo.com,None,None
2512978,Green Eagle Solutions,http://www.greeneaglesolutions.com,None,None
3503468,Atenem Global Services,http://www.atenem.com,None,None
